client_num,target
0,1
10,4
11,0
14,4
16,1
20,4
21,3
23,4
24,1
28,4
29,1
30,6
35,1
37,4
42,0
44,6
45,4
49,3
51,1
53,0
54,3
55,4
59,1
60,0
64,6
66,4
67,0
80,1
81,4
84,1
90,1
92,3
94,1
97,4
99,4
100,4
103,1
106,6
111,4
116,1
120,2
122,1
124,3
126,1
128,3
129,4
134,4
136,4
137,1
142,6
143,6
144,4
145,4
146,1
147,4
149,1
152,4
157,0
167,1
173,1
176,4
178,4
179,1
182,6
183,1
184,4
185,6
189,4
190,3
191,0
193,4
198,4
202,5
204,4
210,1
212,4
214,1
215,0
217,1
222,4
223,4
225,4
232,4
234,5
239,1
240,4
241,4
243,1
244,1
251,4
252,0
255,0
258,1
260,4
266,4
267,2
268,1
270,4
272,6
275,0
280,1
282,4
287,1
288,6
289,4
294,4
296,4
297,4
299,2
300,4
301,1
306,4
308,1
310,0
312,0
316,4
317,3
319,1
320,1
321,1
322,4
324,6
328,1
329,1
333,4
338,3
341,4
346,4
350,2
352,6
353,0
354,4
355,1
357,1
361,1
365,1
366,0
367,4
369,4
370,4
371,0
377,4
379,1
380,1
381,6
383,1
386,5
395,4
399,1
401,1
403,1
404,4
406,1
409,4
411,1
413,3
415,1
417,4
423,4
425,6
426,6
427,1
429,1
432,1
434,1
438,3
439,4
441,6
442,1
446,1
447,1
448,2
454,4
455,4
456,3
460,3
462,1
463,4
467,6
468,0
469,1
470,0
477,1
482,4
483,0
485,1
487,4
489,6
491,1
493,4
498,4
500,1
501,0
504,3
506,6
507,4
508,3
509,1
512,1
513,0
514,4
515,1
516,4
520,1
521,1
527,1
529,3
533,3
534,1
535,0
538,4
540,2
544,0
545,1
551,1
553,1
567,4
569,1
570,1
571,4
579,4
587,0
588,1
590,1
592,1
593,0
595,0
596,3
598,0
599,4
600,4
603,3
610,6
611,1
616,1
625,6
630,2
635,0
636,4
637,4
638,1
642,2
644,1
645,1
648,4
651,1
652,3
655,2
656,3
662,1
664,1
668,3
671,6
672,3
673,1
675,3
678,0
679,6
681,1
682,1
683,6
684,0
685,3
687,1
689,3
690,4
692,0
695,4
696,1
697,4
700,4
710,6
713,0
714,1
715,4
716,6
717,1
719,1
723,4
725,4
726,4
727,4
730,0
731,3
734,0
735,4
736,1
737,6
738,1
739,6
743,0
744,6
746,4
748,4
750,1
751,1
755,1
756,1
757,6
759,2
760,1
762,1
763,6
765,4
768,1
773,1
776,1
781,2
782,1
784,2
785,4
786,1
791,6
795,0
803,4
807,4
809,4
814,0
816,0
818,4
821,4
822,4
827,0
828,4
831,2
832,6
834,4
838,1
840,1
841,4
842,4
847,1
849,0
851,4
853,6
854,1
856,3
861,4
864,1
868,1
879,4
881,4
882,3
883,2
898,4
899,1
903,5
905,4
906,0
907,4
910,2
915,4
919,1
925,4
928,6
931,4
932,6
934,4
935,1
936,2
941,4
943,1
946,1
948,4
949,1
951,4
954,4
956,1
965,4
966,4
969,4
972,1
973,3
974,1
980,4
981,2
984,1
985,2
987,4
989,1
990,4
998,6
1000,1
1002,1
