client_num,target
0,0
10,6
11,0
14,5
16,0
20,4
21,2
23,5
24,1
28,4
29,1
30,3
35,0
37,4
42,0
44,1
45,6
49,4
51,1
53,1
54,1
55,4
59,1
60,1
64,5
66,4
67,1
80,4
81,1
84,1
90,1
92,0
94,1
97,4
99,4
100,1
103,3
106,6
111,4
116,1
120,1
122,1
124,1
126,1
128,4
129,2
134,5
136,5
137,4
142,4
143,6
144,4
145,1
146,1
147,4
149,3
152,5
157,5
167,1
173,1
176,5
178,4
179,1
182,5
183,3
184,4
185,5
189,4
190,1
191,1
193,0
198,1
202,4
204,2
210,1
212,4
214,0
215,0
217,0
222,4
223,4
225,2
232,0
234,4
239,1
240,4
241,5
243,1
244,1
251,4
252,0
255,1
258,3
260,4
266,4
267,1
268,1
270,4
272,5
275,0
280,1
282,2
287,1
288,6
289,3
294,6
296,4
297,3
299,1
300,4
301,1
306,5
308,4
310,0
312,6
316,2
317,2
319,1
320,5
321,0
322,2
324,4
328,3
329,2
333,5
338,4
341,5
346,4
350,1
352,4
353,1
354,1
355,1
357,1
361,1
365,3
366,4
367,5
369,3
370,4
371,1
377,4
379,3
380,1
381,6
383,1
386,6
395,3
399,5
401,1
403,5
404,4
406,1
409,6
411,3
413,3
415,1
417,4
423,2
425,6
426,2
427,0
429,0
432,1
434,1
438,4
439,4
441,2
442,3
446,1
447,3
448,1
454,1
455,3
456,0
460,3
462,1
463,3
467,6
468,0
469,1
470,1
477,1
482,4
483,1
485,1
487,4
489,6
491,4
493,6
498,3
500,1
501,1
504,1
506,4
507,4
508,4
509,2
512,1
513,0
514,4
515,1
516,2
520,2
521,0
527,4
529,1
533,3
534,3
535,1
538,1
540,1
544,0
545,1
551,4
553,0
567,4
569,3
570,1
571,4
579,0
587,0
588,1
590,1
592,1
593,1
595,4
596,3
598,1
599,4
600,0
603,4
610,4
611,3
616,1
625,4
630,3
635,0
636,3
637,4
638,1
642,1
644,1
645,1
648,4
651,3
652,1
655,1
656,1
662,1
664,0
668,3
671,6
672,3
673,3
675,3
678,1
679,6
681,6
682,4
683,6
684,1
685,2
687,1
689,4
690,6
692,1
695,4
696,1
697,4
700,4
710,5
713,0
714,1
715,5
716,5
717,1
719,4
723,4
725,4
726,4
727,4
730,1
731,1
734,0
735,6
736,0
737,6
738,3
739,6
743,0
744,5
746,6
748,4
750,1
751,2
755,1
756,1
757,6
759,0
760,1
762,0
763,6
765,1
768,0
773,1
776,2
781,3
782,1
784,1
785,2
786,5
791,0
795,0
803,4
807,4
809,5
814,0
816,6
818,5
821,4
822,4
827,6
828,3
831,2
832,6
834,3
838,1
840,3
841,6
842,3
847,3
849,1
851,6
853,5
854,1
856,0
861,3
864,4
868,1
879,4
881,4
882,3
883,4
898,5
899,1
903,5
905,3
906,0
907,4
910,1
915,4
919,1
925,3
928,6
931,1
932,6
934,3
935,0
936,1
941,1
943,0
946,1
948,5
949,1
951,4
954,4
956,1
965,3
966,1
969,4
972,1
973,3
974,1
980,2
981,2
984,3
985,1
987,0
989,0
990,3
998,6
1000,1
1002,1
1008,0
1012,6
1013,1
1020,5
1021,4
1028,4
1029,5
1030,1
1032,1
1047,1
1048,3
1060,1
1061,4
1062,1
1063,0
1070,6
1074,4
1077,0
1078,1
1080,3
1083,6
1086,5
1087,1
1097,6
1101,3
1102,0
1106,1
1107,6
1108,4
1112,1
1113,1
1118,1
1119,6
1120,4
1121,6
1122,1
1123,1
1124,1
1128,4
1133,4
1134,1
1135,4
1137,1
1143,4
1145,1
1147,1
1150,1
1155,0
1156,1
1159,6
1160,4
1161,1
1163,4
1165,1
1166,4
1167,4
1170,6
1174,4
1176,1
1181,1
1182,0
1187,4
1188,1
1194,0
1198,1
1200,5
1202,1
1203,4
1206,3
1208,0
1211,3
1213,3
1214,1
1215,0
1218,2
1222,0
1224,6
1225,4
1230,1
1233,1
1234,4
1242,1
1243,5
1244,4
1249,2
1260,0
1266,1
1268,1
1273,4
1274,1
1276,5
1277,1
1279,1
1280,0
1285,0
1286,1
1287,4
1288,1
1289,4
1298,4
1300,0
1301,3
1302,4
1304,1
1308,1
1312,6
1313,4
1314,4
1315,4
1316,1
1318,1
1320,1
1322,5
1330,1
1331,6
1333,1
1334,1
1338,0
1340,4
1344,2
1350,1
1358,4
1359,3
1363,2
1367,0
1368,3
1369,5
1371,0
1373,1
1374,1
1377,1
1385,3
1394,3
1401,1
1404,1
1407,4
1412,6
1416,4
1417,4
1418,1
1420,4
1421,1
1423,4
1425,4
1428,1
1429,5
1430,4
1433,1
1434,3
1445,1
1450,4
1455,4
1457,3
1461,4
1465,1
1468,6
1469,0
1472,1
1482,3
1483,1
1484,4
1488,6
1489,3
1490,0
1492,1
1499,2
1500,4
1503,3
1506,2
1508,3
1511,3
1523,4
1525,5
1526,3
1528,1
1529,1
1531,0
1534,1
1535,0
1537,4
1538,1
1539,1
1540,0
1543,1
1546,4
1556,6
1559,0
1560,1
1563,1
1565,1
1574,3
1575,0
1577,4
1579,1
1587,3
1590,6
1592,0
1593,1
1598,4
1599,1
1606,3
1607,2
1608,1
1609,4
1611,1
1612,4
1614,4
1619,6
1620,5
1625,4
1630,3
1632,1
1641,4
1643,4
1644,1
1646,4
1647,3
1648,1
1650,1
1655,6
1658,5
1660,1
1662,5
1664,1
1667,3
1668,6
1670,2
1672,6
1676,4
1677,6
1678,6
1692,4
1694,1
1696,1
1699,4
1701,1
1702,3
1710,1
1713,4
1715,3
1727,4
1728,4
1731,3
1734,6
1737,1
1738,3
1739,6
1745,1
1748,4
1749,1
1755,4
1759,5
1764,0
1771,1
1774,1
1775,4
1777,4
